Year,Month,Day,Hour,Minute,Second,"Temp, °C (S/N: 20343782)"
2023,6,16,11,50,0,17.986
2023,6,16,12,0,0,17.986
2023,6,16,12,10,0,17.962
2023,6,16,12,20,0,17.986
2023,6,16,12,30,0,17.986
2023,6,16,12,40,0,17.986
2023,6,16,12,50,0,17.986
2023,6,16,13,0,0,17.986
2023,6,16,13,10,0,18.01
2023,6,16,13,20,0,18.01
2023,6,16,13,30,0,18.033
2023,6,16,13,40,0,18.057
2023,6,16,13,50,0,18.081
2023,6,16,14,0,0,18.129
2023,6,16,14,10,0,18.152
2023,6,16,14,20,0,18.152
2023,6,16,14,30,0,18.152
2023,6,16,14,40,0,18.152
2023,6,16,14,50,0,18.152
2023,6,16,15,0,0,18.152
2023,6,16,15,10,0,18.176
2023,6,16,15,20,0,18.247
2023,6,16,15,30,0,18.224
2023,6,16,15,40,0,18.224
2023,6,16,15,50,0,18.295
2023,6,16,16,0,0,18.319
2023,6,16,16,10,0,18.39
2023,6,16,16,20,0,18.438
2023,6,16,16,30,0,18.461
2023,6,16,16,40,0,18.509
2023,6,16,16,50,0,18.461
2023,6,16,17,0,0,18.461
2023,6,16,17,10,0,18.509
2023,6,16,17,20,0,18.533
2023,6,16,17,30,0,18.533
2023,6,16,17,40,0,18.557
2023,6,16,17,50,0,18.58
2023,6,16,18,0,0,18.58
2023,6,16,18,10,0,18.557
2023,6,16,18,20,0,18.509
2023,6,16,18,30,0,18.485
2023,6,16,18,40,0,18.509
2023,6,16,18,50,0,18.509
2023,6,16,19,0,0,18.533
2023,6,16,19,10,0,18.557
2023,6,16,19,20,0,18.58
2023,6,16,19,30,0,18.604
2023,6,16,19,40,0,18.652
2023,6,16,19,50,0,18.652
2023,6,16,20,0,0,18.604
2023,6,16,20,10,0,18.58
2023,6,16,20,20,0,18.604
2023,6,16,20,30,0,18.604
2023,6,16,20,40,0,18.628
2023,6,16,20,50,0,18.652
2023,6,16,21,0,0,18.675
2023,6,16,21,10,0,19.032
2023,6,16,21,20,0,18.842
2023,6,16,21,30,0,18.913
2023,6,16,21,40,0,18.842
2023,6,16,21,50,0,18.771
2023,6,16,22,0,0,18.747
2023,6,16,22,10,0,18.985
2023,6,16,22,20,0,19.032
2023,6,16,22,30,0,19.008
2023,6,16,22,40,0,19.008
2023,6,16,22,50,0,18.985
2023,6,16,23,0,0,18.985
2023,6,16,23,10,0,18.961
2023,6,16,23,20,0,18.961
2023,6,16,23,30,0,18.961
2023,6,16,23,40,0,18.985
2023,6,16,23,50,0,19.008
2023,6,17,0,0,0,18.985
2023,6,17,0,10,0,18.985
2023,6,17,0,20,0,18.937
2023,6,17,0,30,0,18.937
2023,6,17,0,40,0,18.937
2023,6,17,0,50,0,18.961
2023,6,17,1,0,0,18.937
2023,6,17,1,10,0,18.937
2023,6,17,1,20,0,18.913
2023,6,17,1,30,0,18.866
2023,6,17,1,40,0,18.889
2023,6,17,1,50,0,18.842
2023,6,17,2,0,0,18.842
2023,6,17,2,10,0,18.818
2023,6,17,2,20,0,18.818
2023,6,17,2,30,0,18.794
2023,6,17,2,40,0,18.771
2023,6,17,2,50,0,18.747
2023,6,17,3,0,0,18.723
2023,6,17,3,10,0,18.675
2023,6,17,3,20,0,18.652
2023,6,17,3,30,0,18.652
2023,6,17,3,40,0,18.652
2023,6,17,3,50,0,18.628
2023,6,17,4,0,0,18.604
2023,6,17,4,10,0,18.557
2023,6,17,4,20,0,18.557
2023,6,17,4,30,0,18.509
2023,6,17,4,40,0,18.485
2023,6,17,4,50,0,18.461
2023,6,17,5,0,0,18.461
2023,6,17,5,10,0,18.438
2023,6,17,5,20,0,18.414
2023,6,17,5,30,0,18.414
2023,6,17,5,40,0,18.39
2023,6,17,5,50,0,18.366
2023,6,17,6,0,0,18.366
2023,6,17,6,10,0,18.366
2023,6,17,6,20,0,18.343
2023,6,17,6,30,0,18.319
2023,6,17,6,40,0,18.319
2023,6,17,6,50,0,18.319
2023,6,17,7,0,0,18.319
2023,6,17,7,10,0,18.319
2023,6,17,7,20,0,18.319
2023,6,17,7,30,0,18.319
2023,6,17,7,40,0,18.319
2023,6,17,7,50,0,18.319
2023,6,17,8,0,0,18.319
2023,6,17,8,10,0,18.295
2023,6,17,8,20,0,18.295
2023,6,17,8,30,0,18.271
2023,6,17,8,40,0,18.247
2023,6,17,8,50,0,18.247
2023,6,17,9,0,0,18.247
2023,6,17,9,10,0,18.247
2023,6,17,9,20,0,18.247
2023,6,17,9,30,0,18.271
2023,6,17,9,40,0,18.271
2023,6,17,9,50,0,18.295
2023,6,17,10,0,0,18.319
2023,6,17,10,10,0,18.319
2023,6,17,10,20,0,18.343
2023,6,17,10,30,0,18.343
2023,6,17,10,40,0,18.343
2023,6,17,10,50,0,18.366
2023,6,17,11,0,0,18.366
2023,6,17,11,10,0,18.39
2023,6,17,11,20,0,18.414
2023,6,17,11,30,0,18.438
2023,6,17,11,40,0,18.461
2023,6,17,11,50,0,18.485
2023,6,17,12,0,0,18.509
2023,6,17,12,10,0,18.533
2023,6,17,12,20,0,18.557
2023,6,17,12,30,0,18.58
2023,6,17,12,40,0,18.604
2023,6,17,12,50,0,18.652
2023,6,17,13,0,0,18.652
2023,6,17,13,10,0,18.699
2023,6,17,13,20,0,18.723
2023,6,17,13,30,0,18.747
2023,6,17,13,40,0,18.747
2023,6,17,13,50,0,18.771
2023,6,17,14,0,0,18.699
2023,6,17,14,10,0,18.675
2023,6,17,14,20,0,18.699
2023,6,17,14,30,0,18.794
2023,6,17,14,40,0,18.794
2023,6,17,14,50,0,18.794
2023,6,17,15,0,0,18.842
2023,6,17,15,10,0,18.866
2023,6,17,15,20,0,18.913
2023,6,17,15,30,0,18.913
2023,6,17,15,40,0,18.913
2023,6,17,15,50,0,18.961
2023,6,17,16,0,0,19.056
2023,6,17,16,10,0,18.937
2023,6,17,16,20,0,18.961
2023,6,17,16,30,0,18.961
2023,6,17,16,40,0,18.985
2023,6,17,16,50,0,18.937
2023,6,17,17,0,0,19.008
2023,6,17,17,10,0,18.937
2023,6,17,17,20,0,18.961
2023,6,17,17,30,0,18.985
2023,6,17,17,40,0,19.008
2023,6,17,17,50,0,18.985
2023,6,17,18,0,0,19.008
2023,6,17,18,10,0,19.032
2023,6,17,18,20,0,19.008
2023,6,17,18,30,0,19.008
2023,6,17,18,40,0,18.985
2023,6,17,18,50,0,18.985
2023,6,17,19,0,0,19.032
2023,6,17,19,10,0,19.032
2023,6,17,19,20,0,19.032
2023,6,17,19,30,0,19.056
2023,6,17,19,40,0,19.056
2023,6,17,19,50,0,19.127
2023,6,17,20,0,0,19.103
2023,6,17,20,10,0,19.008
2023,6,17,20,20,0,18.985
2023,6,17,20,30,0,19.032
2023,6,17,20,40,0,19.08
2023,6,17,20,50,0,19.103
2023,6,17,21,0,0,19.103
2023,6,17,21,10,0,19.127
2023,6,17,21,20,0,19.175
2023,6,17,21,30,0,19.151
2023,6,17,21,40,0,19.175
2023,6,17,21,50,0,19.199
2023,6,17,22,0,0,19.175
2023,6,17,22,10,0,19.199
2023,6,17,22,20,0,19.175
2023,6,17,22,30,0,19.151
2023,6,17,22,40,0,19.127
2023,6,17,22,50,0,19.127
2023,6,17,23,0,0,19.103
2023,6,17,23,10,0,19.103
2023,6,17,23,20,0,19.08
2023,6,17,23,30,0,19.056
2023,6,17,23,40,0,19.032
2023,6,17,23,50,0,19.032
2023,6,18,0,0,0,19.032
2023,6,18,0,10,0,19.008
2023,6,18,0,20,0,19.008
2023,6,18,0,30,0,18.985
2023,6,18,0,40,0,18.985
2023,6,18,0,50,0,18.985
2023,6,18,1,0,0,18.985
2023,6,18,1,10,0,18.985
2023,6,18,1,20,0,18.961
2023,6,18,1,30,0,18.961
2023,6,18,1,40,0,18.961
2023,6,18,1,50,0,18.937
2023,6,18,2,0,0,18.913
2023,6,18,2,10,0,18.913
2023,6,18,2,20,0,18.913
2023,6,18,2,30,0,18.913
2023,6,18,2,40,0,18.889
2023,6,18,2,50,0,18.913
2023,6,18,3,0,0,18.913
2023,6,18,3,10,0,18.913
2023,6,18,3,20,0,18.913
2023,6,18,3,30,0,18.913
2023,6,18,3,40,0,18.913
2023,6,18,3,50,0,18.913
2023,6,18,4,0,0,18.937
2023,6,18,4,10,0,18.913
2023,6,18,4,20,0,18.937
2023,6,18,4,30,0,18.913
2023,6,18,4,40,0,18.913
2023,6,18,4,50,0,18.913
2023,6,18,5,0,0,18.889
2023,6,18,5,10,0,18.889
2023,6,18,5,20,0,18.889
2023,6,18,5,30,0,18.889
2023,6,18,5,40,0,18.866
2023,6,18,5,50,0,18.866
2023,6,18,6,0,0,18.866
2023,6,18,6,10,0,18.866
2023,6,18,6,20,0,18.842
2023,6,18,6,30,0,18.842
2023,6,18,6,40,0,18.842
2023,6,18,6,50,0,18.842
2023,6,18,7,0,0,18.842
2023,6,18,7,10,0,18.818
2023,6,18,7,20,0,18.818
2023,6,18,7,30,0,18.794
2023,6,18,7,40,0,18.794
2023,6,18,7,50,0,18.794
2023,6,18,8,0,0,18.794
2023,6,18,8,10,0,18.794
2023,6,18,8,20,0,18.794
2023,6,18,8,30,0,18.794
2023,6,18,8,40,0,18.794
2023,6,18,8,50,0,18.771
2023,6,18,9,0,0,18.771
2023,6,18,9,10,0,18.747
2023,6,18,9,20,0,18.747
2023,6,18,9,30,0,18.771
2023,6,18,9,40,0,18.771
2023,6,18,9,50,0,18.747
2023,6,18,10,0,0,18.747
2023,6,18,10,10,0,18.747
2023,6,18,10,20,0,18.747
2023,6,18,10,30,0,18.747
2023,6,18,10,40,0,18.747
2023,6,18,10,50,0,18.747
2023,6,18,11,0,0,18.723
2023,6,18,11,10,0,18.723
2023,6,18,11,20,0,18.699
2023,6,18,11,30,0,18.699
2023,6,18,11,40,0,18.723
2023,6,18,11,50,0,18.723
2023,6,18,12,0,0,18.723
2023,6,18,12,10,0,18.747
2023,6,18,12,20,0,18.747
2023,6,18,12,30,0,18.771
2023,6,18,12,40,0,18.818
2023,6,18,12,50,0,18.866
2023,6,18,13,0,0,18.889
2023,6,18,13,10,0,18.913
2023,6,18,13,20,0,18.937
2023,6,18,13,30,0,18.985
2023,6,18,13,40,0,19.032
2023,6,18,13,50,0,19.032
2023,6,18,14,0,0,19.008
2023,6,18,14,10,0,18.985
2023,6,18,14,20,0,18.937
2023,6,18,14,30,0,18.985
2023,6,18,14,40,0,18.913
2023,6,18,14,50,0,18.889
2023,6,18,15,0,0,18.913
2023,6,18,15,10,0,18.937
2023,6,18,15,20,0,18.985
2023,6,18,15,30,0,19.151
2023,6,18,15,40,0,19.341
2023,6,18,15,50,0,19.365
2023,6,18,16,0,0,19.436
2023,6,18,16,10,0,19.46
2023,6,18,16,20,0,19.532
2023,6,18,16,30,0,19.603
2023,6,18,16,40,0,19.579
2023,6,18,16,50,0,19.698
2023,6,18,17,0,0,19.579
2023,6,18,17,10,0,19.603
2023,6,18,17,20,0,19.651
2023,6,18,17,30,0,19.698
2023,6,18,17,40,0,19.722
2023,6,18,17,50,0,19.793
2023,6,18,18,0,0,19.817
2023,6,18,18,10,0,19.841
2023,6,18,18,20,0,20.007
2023,6,18,18,30,0,20.007
2023,6,18,18,40,0,19.865
2023,6,18,18,50,0,19.936
2023,6,18,19,0,0,20.007
2023,6,18,19,10,0,19.912
2023,6,18,19,20,0,19.912
2023,6,18,19,30,0,19.865
2023,6,18,19,40,0,19.841
2023,6,18,19,50,0,19.793
2023,6,18,20,0,0,20.055
2023,6,18,20,10,0,20.007
2023,6,18,20,20,0,20.055
2023,6,18,20,30,0,19.841
2023,6,18,20,40,0,19.793
2023,6,18,20,50,0,20.007
2023,6,18,21,0,0,19.984
2023,6,18,21,10,0,20.031
2023,6,18,21,20,0,19.96
2023,6,18,21,30,0,19.96
2023,6,18,21,40,0,19.936
2023,6,18,21,50,0,19.793
2023,6,18,22,0,0,19.793
2023,6,18,22,10,0,19.674
2023,6,18,22,20,0,19.579
2023,6,18,22,30,0,19.579
2023,6,18,22,40,0,19.579
2023,6,18,22,50,0,19.532
2023,6,18,23,0,0,19.508
2023,6,18,23,10,0,19.484
2023,6,18,23,20,0,19.436
2023,6,18,23,30,0,19.484
2023,6,18,23,40,0,19.532
2023,6,18,23,50,0,19.508
2023,6,19,0,0,0,19.508
2023,6,19,0,10,0,19.484
2023,6,19,0,20,0,19.484
2023,6,19,0,30,0,19.436
2023,6,19,0,40,0,19.508
2023,6,19,0,50,0,19.532
2023,6,19,1,0,0,19.603
2023,6,19,1,10,0,19.674
2023,6,19,1,20,0,19.674
2023,6,19,1,30,0,19.698
2023,6,19,1,40,0,19.722
2023,6,19,1,50,0,19.746
2023,6,19,2,0,0,19.722
2023,6,19,2,10,0,19.722
2023,6,19,2,20,0,19.722
2023,6,19,2,30,0,19.722
2023,6,19,2,40,0,19.698
2023,6,19,2,50,0,19.698
2023,6,19,3,0,0,19.674
2023,6,19,3,10,0,19.674
2023,6,19,3,20,0,19.674
2023,6,19,3,30,0,19.651
2023,6,19,3,40,0,19.627
2023,6,19,3,50,0,19.603
2023,6,19,4,0,0,19.603
2023,6,19,4,10,0,19.579
2023,6,19,4,20,0,19.579
2023,6,19,4,30,0,19.555
2023,6,19,4,40,0,19.555
2023,6,19,4,50,0,19.532
2023,6,19,5,0,0,19.508
2023,6,19,5,10,0,19.508
2023,6,19,5,20,0,19.508
2023,6,19,5,30,0,19.508
2023,6,19,5,40,0,19.532
2023,6,19,5,50,0,19.651
2023,6,19,6,0,0,19.698
2023,6,19,6,10,0,19.698
2023,6,19,6,20,0,19.698
2023,6,19,6,30,0,19.698
2023,6,19,6,40,0,19.674
2023,6,19,6,50,0,19.674
2023,6,19,7,0,0,19.651
2023,6,19,7,10,0,19.603
2023,6,19,7,20,0,19.579
2023,6,19,7,30,0,19.579
2023,6,19,7,40,0,19.579
2023,6,19,7,50,0,19.555
2023,6,19,8,0,0,19.555
2023,6,19,8,10,0,19.579
2023,6,19,8,20,0,19.603
2023,6,19,8,30,0,19.579
2023,6,19,8,40,0,19.555
2023,6,19,8,50,0,19.532
2023,6,19,9,0,0,19.508
2023,6,19,9,10,0,19.508
2023,6,19,9,20,0,19.508
2023,6,19,9,30,0,19.508
2023,6,19,9,40,0,19.484
2023,6,19,9,50,0,19.46
2023,6,19,10,0,0,19.46
2023,6,19,10,10,0,19.46
2023,6,19,10,20,0,19.46
2023,6,19,10,30,0,19.46
2023,6,19,10,40,0,19.46
2023,6,19,10,50,0,19.46
2023,6,19,11,0,0,19.46
2023,6,19,11,10,0,19.46
2023,6,19,11,20,0,19.46
2023,6,19,11,30,0,19.436
2023,6,19,11,40,0,19.413
2023,6,19,11,50,0,19.413
2023,6,19,12,0,0,19.413
2023,6,19,12,10,0,19.389
2023,6,19,12,20,0,19.389
2023,6,19,12,30,0,19.365
2023,6,19,12,40,0,19.365
2023,6,19,12,50,0,19.365
2023,6,19,13,0,0,19.413
2023,6,19,13,10,0,19.413
2023,6,19,13,20,0,19.413
2023,6,19,13,30,0,19.389
2023,6,19,13,40,0,19.389
2023,6,19,13,50,0,19.365
2023,6,19,14,0,0,19.341
2023,6,19,14,10,0,19.341
2023,6,19,14,20,0,19.318
2023,6,19,14,30,0,19.318
2023,6,19,14,40,0,19.318
2023,6,19,14,50,0,19.294
2023,6,19,15,0,0,19.27
2023,6,19,15,10,0,19.27
2023,6,19,15,20,0,19.246
2023,6,19,15,30,0,19.246
2023,6,19,15,40,0,19.246
2023,6,19,15,50,0,19.222
2023,6,19,16,0,0,19.246
2023,6,19,16,10,0,19.27
2023,6,19,16,20,0,19.27
2023,6,19,16,30,0,19.27
2023,6,19,16,40,0,19.27
2023,6,19,16,50,0,19.246
2023,6,19,17,0,0,19.246
2023,6,19,17,10,0,19.27
2023,6,19,17,20,0,19.294
2023,6,19,17,30,0,19.294
2023,6,19,17,40,0,19.341
2023,6,19,17,50,0,19.341
2023,6,19,18,0,0,19.341
2023,6,19,18,10,0,19.46
2023,6,19,18,20,0,19.508
2023,6,19,18,30,0,19.532
2023,6,19,18,40,0,19.484
2023,6,19,18,50,0,19.508
2023,6,19,19,0,0,19.508
2023,6,19,19,10,0,19.484
2023,6,19,19,20,0,19.46
2023,6,19,19,30,0,19.484
2023,6,19,19,40,0,19.46
2023,6,19,19,50,0,19.746
2023,6,19,20,0,0,19.841
2023,6,19,20,10,0,19.96
2023,6,19,20,20,0,20.031
2023,6,19,20,30,0,20.031
2023,6,19,20,40,0,20.031
2023,6,19,20,50,0,19.984
2023,6,19,21,0,0,20.079
2023,6,19,21,10,0,20.126
2023,6,19,21,20,0,20.126
2023,6,19,21,30,0,20.103
2023,6,19,21,40,0,20.079
2023,6,19,21,50,0,20.031
2023,6,19,22,0,0,20.031
2023,6,19,22,10,0,20.007
2023,6,19,22,20,0,19.96
2023,6,19,22,30,0,19.96
2023,6,19,22,40,0,19.936
2023,6,19,22,50,0,19.912
2023,6,19,23,0,0,19.865
2023,6,19,23,10,0,19.841
2023,6,19,23,20,0,19.817
2023,6,19,23,30,0,19.793
2023,6,19,23,40,0,19.793
2023,6,19,23,50,0,19.77
2023,6,20,0,0,0,19.746
2023,6,20,0,10,0,19.722
2023,6,20,0,20,0,19.698
2023,6,20,0,30,0,19.674
2023,6,20,0,40,0,19.651
2023,6,20,0,50,0,19.651
2023,6,20,1,0,0,19.627
2023,6,20,1,10,0,19.603
2023,6,20,1,20,0,19.603
2023,6,20,1,30,0,19.579
2023,6,20,1,40,0,19.555
2023,6,20,1,50,0,19.555
2023,6,20,2,0,0,19.555
2023,6,20,2,10,0,19.555
2023,6,20,2,20,0,19.532
2023,6,20,2,30,0,19.532
2023,6,20,2,40,0,19.532
2023,6,20,2,50,0,19.532
2023,6,20,3,0,0,19.532
2023,6,20,3,10,0,19.532
2023,6,20,3,20,0,19.508
2023,6,20,3,30,0,19.532
2023,6,20,3,40,0,19.508
2023,6,20,3,50,0,19.532
2023,6,20,4,0,0,19.532
2023,6,20,4,10,0,19.508
2023,6,20,4,20,0,19.484
2023,6,20,4,30,0,19.484
2023,6,20,4,40,0,19.484
2023,6,20,4,50,0,19.484
2023,6,20,5,0,0,19.484
2023,6,20,5,10,0,19.484
2023,6,20,5,20,0,19.484
2023,6,20,5,30,0,19.46
2023,6,20,5,40,0,19.46
2023,6,20,5,50,0,19.46
2023,6,20,6,0,0,19.484
2023,6,20,6,10,0,19.46
2023,6,20,6,20,0,19.46
2023,6,20,6,30,0,19.46
2023,6,20,6,40,0,19.484
2023,6,20,6,50,0,19.46
2023,6,20,7,0,0,19.46
2023,6,20,7,10,0,19.484
2023,6,20,7,20,0,19.484
2023,6,20,7,30,0,19.46
2023,6,20,7,40,0,19.46
2023,6,20,7,50,0,19.436
2023,6,20,8,0,0,19.436
2023,6,20,8,10,0,19.413
2023,6,20,8,20,0,19.413
2023,6,20,8,30,0,19.413
2023,6,20,8,40,0,19.413
2023,6,20,8,50,0,19.413
2023,6,20,9,0,0,19.413
2023,6,20,9,10,0,19.389
2023,6,20,9,20,0,19.365
2023,6,20,9,30,0,19.365
2023,6,20,9,40,0,19.365
2023,6,20,9,50,0,19.365
2023,6,20,10,0,0,19.365
2023,6,20,10,10,0,19.365
2023,6,20,10,20,0,19.365
2023,6,20,10,30,0,19.413
2023,6,20,10,40,0,19.413
2023,6,20,10,50,0,19.413
2023,6,20,11,0,0,19.389
2023,6,20,11,10,0,19.413
2023,6,20,11,20,0,19.413
2023,6,20,11,30,0,19.413
2023,6,20,11,40,0,19.413
2023,6,20,11,50,0,19.413
2023,6,20,12,0,0,19.436
2023,6,20,12,10,0,19.436
2023,6,20,12,20,0,19.436
2023,6,20,12,30,0,19.413
2023,6,20,12,40,0,19.46
2023,6,20,12,50,0,19.46
2023,6,20,13,0,0,19.436
2023,6,20,13,10,0,19.413
2023,6,20,13,20,0,19.413
2023,6,20,13,30,0,19.413
2023,6,20,13,40,0,19.436
2023,6,20,13,50,0,19.413
2023,6,20,14,0,0,19.413
2023,6,20,14,10,0,19.436
2023,6,20,14,20,0,19.413
2023,6,20,14,30,0,19.436
2023,6,20,14,40,0,19.46
2023,6,20,14,50,0,19.46
2023,6,20,15,0,0,19.484
2023,6,20,15,10,0,19.436
2023,6,20,15,20,0,19.46
2023,6,20,15,30,0,19.46
2023,6,20,15,40,0,19.484
2023,6,20,15,50,0,19.508
2023,6,20,16,0,0,19.532
2023,6,20,16,10,0,19.532
2023,6,20,16,20,0,19.532
2023,6,20,16,30,0,19.532
2023,6,20,16,40,0,19.555
2023,6,20,16,50,0,19.555
2023,6,20,17,0,0,19.579
2023,6,20,17,10,0,19.579
2023,6,20,17,20,0,19.555
2023,6,20,17,30,0,19.555
2023,6,20,17,40,0,19.555
2023,6,20,17,50,0,19.579
2023,6,20,18,0,0,19.603
2023,6,20,18,10,0,19.603
2023,6,20,18,20,0,19.603
2023,6,20,18,30,0,19.627
2023,6,20,18,40,0,19.651
2023,6,20,18,50,0,19.651
2023,6,20,19,0,0,19.698
2023,6,20,19,10,0,19.722
2023,6,20,19,20,0,19.793
2023,6,20,19,30,0,19.841
2023,6,20,19,40,0,19.888
2023,6,20,19,50,0,19.888
2023,6,20,20,0,0,19.936
2023,6,20,20,10,0,19.936
2023,6,20,20,20,0,19.984
2023,6,20,20,30,0,20.007
2023,6,20,20,40,0,20.031
2023,6,20,20,50,0,20.055
2023,6,20,21,0,0,20.079
2023,6,20,21,10,0,20.079
2023,6,20,21,20,0,20.103
2023,6,20,21,30,0,20.103
2023,6,20,21,40,0,20.103
2023,6,20,21,50,0,20.103
2023,6,20,22,0,0,20.103
2023,6,20,22,10,0,20.126
2023,6,20,22,20,0,20.15
2023,6,20,22,30,0,20.174
2023,6,20,22,40,0,20.174
2023,6,20,22,50,0,20.174
2023,6,20,23,0,0,20.174
2023,6,20,23,10,0,20.15
2023,6,20,23,20,0,20.15
2023,6,20,23,30,0,20.126
2023,6,20,23,40,0,20.103
2023,6,20,23,50,0,20.103
2023,6,21,0,0,0,20.079
2023,6,21,0,10,0,20.055
2023,6,21,0,20,0,20.031
2023,6,21,0,30,0,20.007
2023,6,21,0,40,0,20.007
2023,6,21,0,50,0,19.984
2023,6,21,1,0,0,19.984
2023,6,21,1,10,0,19.96
2023,6,21,1,20,0,19.96
2023,6,21,1,30,0,19.936
2023,6,21,1,40,0,19.936
2023,6,21,1,50,0,19.936
2023,6,21,2,0,0,19.936
2023,6,21,2,10,0,19.936
2023,6,21,2,20,0,19.912
2023,6,21,2,30,0,19.888
2023,6,21,2,40,0,19.888
2023,6,21,2,50,0,19.865
2023,6,21,3,0,0,19.841
2023,6,21,3,10,0,19.841
2023,6,21,3,20,0,19.841
2023,6,21,3,30,0,19.841
2023,6,21,3,40,0,19.841
2023,6,21,3,50,0,19.817
2023,6,21,4,0,0,19.817
2023,6,21,4,10,0,19.793
2023,6,21,4,20,0,19.77
2023,6,21,4,30,0,19.746
2023,6,21,4,40,0,19.746
2023,6,21,4,50,0,19.722
2023,6,21,5,0,0,19.722
2023,6,21,5,10,0,19.722
2023,6,21,5,20,0,19.722
2023,6,21,5,30,0,19.722
2023,6,21,5,40,0,19.698
2023,6,21,5,50,0,19.698
2023,6,21,6,0,0,19.698
2023,6,21,6,10,0,19.698
2023,6,21,6,20,0,19.674
2023,6,21,6,30,0,19.651
2023,6,21,6,40,0,19.603
2023,6,21,6,50,0,19.865
2023,6,21,7,0,0,19.888
2023,6,21,7,10,0,19.888
2023,6,21,7,20,0,19.888
2023,6,21,7,30,0,19.841
2023,6,21,7,40,0,19.841
2023,6,21,7,50,0,19.817
2023,6,21,8,0,0,19.793
2023,6,21,8,10,0,19.793
2023,6,21,8,20,0,19.77
2023,6,21,8,30,0,19.746
2023,6,21,8,40,0,19.746
2023,6,21,8,50,0,19.746
2023,6,21,9,0,0,19.722
2023,6,21,9,10,0,19.698
2023,6,21,9,20,0,19.698
2023,6,21,9,30,0,19.698
2023,6,21,9,40,0,19.674
2023,6,21,9,50,0,19.674
2023,6,21,10,0,0,19.651
2023,6,21,10,10,0,19.651
